order_id,signal_id,ts_ms,market_id,token_id,side,signal_side,signal_type,edge,market_lag,game_time,intended_price,intended_size,filled,fill_price,fill_ts_ms,exit_bid_15s,pnl_15s,exit_bid_30s,pnl_30s,exit_bid_60s,pnl_60s,exit_bid_120s,pnl_120s,edge_bucket,minute_bucket
11,11,1778331575391,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2179.0,0.92,17.0,1,0.91,1778331576283.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
12,12,1778331576435,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2179.0,0.92,17.0,1,0.91,1778331577230.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
13,13,1778331576973,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2179.0,0.92,17.0,1,0.91,1778331577230.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,5-7.5%,30-45
14,14,1778331577505,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,HIDDEN_ECONOMIC_SWING,0.05018799999999998,0.070188,2179.0,0.92,17.0,0,,,0.89,,0.89,,0.89,,0.89,,5-7.5%,30-45
16,16,1778331629500,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331629833.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
17,17,1778331630033,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331630495.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
18,18,1778331630602,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331630774.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
15,15,1778331630851,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331632090.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
19,19,1778331631142,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331632090.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
20,20,1778331632211,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331632609.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
